,user_id,show_id,rating
0,1.0,s8381,4.0
1,1.0,s3466,5.0
2,1.0,s3181,4.0
3,1.0,s294,3.0
4,1.0,s7739,5.0
5,1.0,s2917,3.0
6,1.0,s5899,5.0
7,1.0,s2361,3.0
8,1.0,s493,4.0
9,1.0,s7361,3.0
10,1.0,s242,3.0
11,2.0,s2471,4.0
12,2.0,s764,3.0
13,2.0,s3668,3.0
14,2.0,s1257,3.0
15,2.0,s7845,4.0
16,2.0,s8261,3.0
17,2.0,s540,3.0
18,2.0,s4410,5.0
19,2.0,s909,3.0
20,2.0,s7204,3.0
21,2.0,s3882,3.0
22,3.0,s5348,3.0
23,3.0,s1707,5.0
24,3.0,s8294,4.0
25,3.0,s3474,4.0
26,3.0,s6604,3.0
27,3.0,s1350,3.0
28,3.0,s3749,3.0
29,3.0,s6,3.0
30,3.0,s7419,3.0
31,3.0,s1318,5.0
32,3.0,s1517,4.0
33,4.0,s7269,5.0
34,4.0,s1952,4.0
35,4.0,s7541,3.0
36,4.0,s1484,5.0
37,4.0,s7484,4.0
38,4.0,s5005,5.0
39,4.0,s5357,5.0
40,4.0,s3131,4.0
41,4.0,s4495,4.0
42,4.0,s1269,3.0
43,4.0,s701,4.0
44,5.0,s7843,4.0
45,5.0,s5471,5.0
46,5.0,s3764,4.0
47,5.0,s5803,3.0
48,5.0,s3888,3.0
49,5.0,s3582,3.0
50,5.0,s821,5.0
51,5.0,s2418,3.0
52,5.0,s8084,5.0
53,5.0,s8575,3.0
54,5.0,s1060,5.0
55,6.0,s73,3.0
56,6.0,s3421,4.0
57,6.0,s3104,4.0
58,6.0,s1989,3.0
59,6.0,s4145,4.0
60,6.0,s8701,4.0
61,6.0,s2671,4.0
62,6.0,s6319,5.0
63,6.0,s443,3.0
64,6.0,s2923,4.0
65,7.0,s6450,4.0
66,7.0,s4948,5.0
67,7.0,s3933,4.0
68,7.0,s8497,3.0
69,7.0,s4316,5.0
70,7.0,s828,5.0
71,7.0,s850,4.0
72,7.0,s5219,3.0
73,7.0,s7626,3.0
74,7.0,s444,3.0
75,7.0,s7224,3.0
76,8.0,s6101,4.0
77,8.0,s8575,4.0
78,8.0,s8032,5.0
79,8.0,s2658,3.0
80,8.0,s2978,4.0
81,8.0,s2107,4.0
82,8.0,s1384,3.0
83,8.0,s1689,3.0
84,8.0,s7393,4.0
85,8.0,s7868,4.0
86,8.0,s6452,4.0
87,9.0,s2796,5.0
88,9.0,s6652,5.0
89,9.0,s6931,4.0
90,9.0,s1952,3.0
91,9.0,s1466,5.0
92,9.0,s4742,3.0
93,9.0,s3416,5.0
94,9.0,s1463,5.0
95,9.0,s4495,4.0
96,9.0,s6488,3.0
97,9.0,s5413,4.0
98,10.0,s8265,5.0
99,10.0,s4138,4.0
100,10.0,s8551,4.0
101,10.0,s7246,5.0
102,10.0,s2325,4.0
103,10.0,s2455,3.0
104,10.0,s42,4.0
105,10.0,s4386,4.0
106,10.0,s3562,3.0
107,10.0,s4594,5.0
108,10.0,s1323,5.0
109,11.0,s5240,5.0
110,11.0,s7131,4.0
111,11.0,s3788,5.0
112,11.0,s1586,5.0
113,11.0,s234,5.0
114,11.0,s2,5.0
115,11.0,s7259,5.0
116,11.0,s1874,5.0
117,11.0,s1924,4.0
118,11.0,s7017,4.0
119,11.0,s2795,3.0
120,12.0,s2958,5.0
121,12.0,s5916,4.0
122,12.0,s400,4.0
123,12.0,s5843,3.0
124,12.0,s2830,4.0
125,12.0,s4235,5.0
126,12.0,s7383,3.0
127,12.0,s5327,3.0
128,12.0,s3708,3.0
129,12.0,s4901,4.0
130,12.0,s2368,4.0
131,13.0,s5948,5.0
132,13.0,s5335,3.0
133,13.0,s8228,5.0
134,13.0,s8782,4.0
135,13.0,s4672,3.0
136,13.0,s667,4.0
137,13.0,s1457,4.0
138,13.0,s1195,4.0
139,13.0,s764,5.0
140,13.0,s8329,3.0
141,13.0,s1276,5.0
142,14.0,s7439,3.0
143,14.0,s790,4.0
144,14.0,s8209,3.0
145,14.0,s3975,4.0
146,14.0,s1801,5.0
147,14.0,s5854,5.0
148,14.0,s524,5.0
149,14.0,s3359,4.0
150,14.0,s4121,5.0
151,14.0,s6264,4.0
152,14.0,s561,4.0
153,15.0,s4958,5.0
154,15.0,s2246,4.0
155,15.0,s2294,4.0
156,15.0,s5445,4.0
157,15.0,s8175,4.0
158,15.0,s7969,4.0
159,15.0,s8148,3.0
160,15.0,s669,5.0
161,15.0,s2784,3.0
162,15.0,s640,3.0
163,16.0,s8262,4.0
164,16.0,s4477,4.0
165,16.0,s4843,4.0
166,16.0,s5829,5.0
167,16.0,s8140,3.0
168,16.0,s2343,5.0
169,16.0,s2402,3.0
170,16.0,s6281,5.0
171,16.0,s7296,4.0
172,16.0,s7119,3.0
173,16.0,s4825,3.0
174,17.0,s4673,5.0
175,17.0,s3453,4.0
176,17.0,s8713,4.0
177,17.0,s376,3.0
178,17.0,s700,3.0
179,17.0,s6557,5.0
180,17.0,s4768,4.0
181,17.0,s1526,4.0
182,17.0,s6587,4.0
183,17.0,s1174,5.0
184,18.0,s7040,5.0
185,18.0,s3981,3.0
186,18.0,s88,3.0
187,18.0,s1818,3.0
188,18.0,s3921,4.0
189,18.0,s6751,3.0
190,18.0,s6729,5.0
191,18.0,s2699,5.0
192,18.0,s6966,4.0
193,18.0,s3664,4.0
194,18.0,s3371,3.0
195,19.0,s3726,4.0
196,19.0,s1584,5.0
197,19.0,s5003,3.0
198,19.0,s3852,5.0
199,19.0,s3066,4.0
200,19.0,s2418,5.0
201,19.0,s3425,3.0
202,19.0,s6971,4.0
203,19.0,s880,4.0
204,19.0,s1515,4.0
205,20.0,s4377,5.0
206,20.0,s225,5.0
207,20.0,s401,4.0
208,20.0,s7719,4.0
209,20.0,s3742,3.0
210,20.0,s2254,4.0
211,20.0,s4605,3.0
212,20.0,s1041,5.0
213,20.0,s2055,3.0
214,20.0,s26,4.0
215,20.0,s2525,3.0
216,21.0,s2007,4.0
217,21.0,s1563,3.0
218,21.0,s3941,4.0
219,21.0,s6660,4.0
220,21.0,s2123,3.0
221,21.0,s4512,5.0
222,21.0,s3613,4.0
223,21.0,s3371,4.0
224,21.0,s3054,5.0
225,21.0,s2166,3.0
226,21.0,s6103,5.0
227,22.0,s8276,4.0
228,22.0,s3893,5.0
229,22.0,s1948,3.0
230,22.0,s2465,4.0
231,22.0,s8701,4.0
232,22.0,s466,3.0
233,22.0,s26,4.0
234,22.0,s8487,4.0
235,22.0,s6452,3.0
236,22.0,s1448,5.0
237,23.0,s8640,4.0
238,23.0,s1409,4.0
239,23.0,s1994,4.0
240,23.0,s2179,5.0
241,23.0,s7843,5.0
242,23.0,s3051,3.0
243,23.0,s662,4.0
244,23.0,s1896,4.0
245,23.0,s7871,3.0
246,23.0,s8545,3.0
247,23.0,s5192,3.0
248,24.0,s6158,4.0
249,24.0,s8060,3.0
250,24.0,s2888,3.0
251,24.0,s6313,3.0
252,24.0,s1979,5.0
253,24.0,s835,5.0
254,24.0,s6803,3.0
255,24.0,s6569,5.0
256,24.0,s2526,5.0
257,24.0,s5691,5.0
258,24.0,s881,5.0
259,25.0,s3908,3.0
260,25.0,s3665,4.0
261,25.0,s7613,3.0
262,25.0,s2289,3.0
263,25.0,s597,3.0
264,25.0,s5942,3.0
265,25.0,s3897,4.0
266,25.0,s8694,4.0
267,25.0,s2706,5.0
268,25.0,s2501,5.0
269,25.0,s915,4.0
270,26.0,s4942,4.0
271,26.0,s2658,5.0
272,26.0,s5909,4.0
273,26.0,s3885,5.0
274,26.0,s7393,3.0
275,26.0,s5651,4.0
276,26.0,s7848,5.0
277,26.0,s3486,3.0
278,26.0,s5366,3.0
279,26.0,s5098,3.0
280,26.0,s1403,5.0
281,27.0,s655,3.0
282,27.0,s5310,4.0
283,27.0,s8125,3.0
284,27.0,s8135,3.0
285,27.0,s6388,3.0
286,27.0,s5301,3.0
287,27.0,s8014,3.0
288,27.0,s7431,5.0
289,27.0,s8461,3.0
290,27.0,s7403,5.0
291,28.0,s3697,4.0
292,28.0,s7992,3.0
293,28.0,s7303,5.0
294,28.0,s2383,5.0
295,28.0,s4634,3.0
296,28.0,s6755,5.0
297,28.0,s4672,5.0
298,28.0,s4257,3.0
299,28.0,s1793,3.0
300,28.0,s533,5.0
301,29.0,s3807,4.0
302,29.0,s775,3.0
303,29.0,s4031,5.0
304,29.0,s2604,3.0
305,29.0,s18,4.0
306,29.0,s7588,4.0
307,29.0,s90,5.0
308,29.0,s6016,3.0
309,29.0,s190,4.0
310,29.0,s566,3.0
311,29.0,s5070,4.0
312,30.0,s4411,5.0
313,30.0,s3329,5.0
314,30.0,s241,3.0
315,30.0,s7280,3.0
316,30.0,s4351,5.0
317,30.0,s2932,4.0
318,30.0,s7506,4.0
319,30.0,s4663,3.0
320,30.0,s2768,5.0
321,30.0,s6733,3.0
322,30.0,s4942,5.0
323,31.0,s925,4.0
324,31.0,s3996,4.0
325,31.0,s8203,5.0
326,31.0,s771,3.0
327,31.0,s8093,5.0
328,31.0,s8182,5.0
329,31.0,s3581,4.0
330,31.0,s496,5.0
331,31.0,s8548,3.0
332,31.0,s4229,3.0
333,32.0,s7548,4.0
334,32.0,s246,3.0
335,32.0,s1534,5.0
336,32.0,s6254,5.0
337,32.0,s7506,3.0
338,32.0,s6614,5.0
339,32.0,s6672,4.0
340,32.0,s8756,5.0
341,32.0,s1547,5.0
342,32.0,s4085,3.0
343,33.0,s2149,3.0
344,33.0,s6777,5.0
345,33.0,s2800,4.0
346,33.0,s7641,5.0
347,33.0,s4771,3.0
348,33.0,s1841,3.0
349,33.0,s6219,4.0
350,33.0,s832,4.0
351,33.0,s6861,4.0
352,33.0,s1674,5.0
353,34.0,s3993,4.0
354,34.0,s990,3.0
355,34.0,s7651,5.0
356,34.0,s1982,3.0
357,34.0,s988,5.0
358,34.0,s1966,4.0
359,34.0,s1530,4.0
360,34.0,s5777,3.0
361,34.0,s5125,5.0
362,35.0,s64,5.0
363,35.0,s679,4.0
364,35.0,s3416,4.0
365,35.0,s59,5.0
366,35.0,s6788,3.0
367,35.0,s6996,5.0
368,35.0,s2043,3.0
369,35.0,s6592,3.0
370,35.0,s7531,3.0
371,35.0,s4209,5.0
372,35.0,s8636,3.0
373,36.0,s6764,5.0
374,36.0,s3638,5.0
375,36.0,s4611,4.0
376,36.0,s2248,5.0
377,36.0,s6805,4.0
378,36.0,s2378,5.0
379,36.0,s4253,5.0
380,36.0,s2500,3.0
381,36.0,s920,4.0
382,36.0,s1277,3.0
383,36.0,s1690,5.0
384,37.0,s5075,3.0
385,37.0,s5964,3.0
386,37.0,s7572,3.0
387,37.0,s5492,3.0
388,37.0,s4550,3.0
389,37.0,s3226,3.0
390,37.0,s1980,4.0
391,37.0,s8031,4.0
392,37.0,s6298,3.0
393,37.0,s7817,3.0
394,38.0,s2376,3.0
395,38.0,s1819,5.0
396,38.0,s8515,4.0
397,38.0,s1208,5.0
398,38.0,s2432,3.0
399,38.0,s1927,3.0
400,38.0,s5855,5.0
401,38.0,s5549,3.0
402,38.0,s1429,5.0
403,38.0,s7623,3.0
404,39.0,s4461,4.0
405,39.0,s8382,4.0
406,39.0,s1365,4.0
407,39.0,s5999,5.0
408,39.0,s7858,4.0
409,39.0,s4116,3.0
410,39.0,s3680,4.0
411,39.0,s5821,3.0
412,39.0,s5370,4.0
413,39.0,s7360,3.0
414,39.0,s5481,5.0
415,40.0,s3264,3.0
416,40.0,s3371,4.0
417,40.0,s5096,4.0
418,40.0,s3689,5.0
419,40.0,s2350,4.0
420,40.0,s2794,5.0
421,40.0,s3213,4.0
422,40.0,s6399,4.0
423,40.0,s898,3.0
424,40.0,s2737,4.0
425,40.0,s7505,4.0
426,41.0,s7421,4.0
427,41.0,s4014,4.0
428,41.0,s5014,4.0
429,41.0,s6676,5.0
430,41.0,s6847,5.0
431,41.0,s5028,4.0
432,41.0,s1290,5.0
433,41.0,s4599,3.0
434,41.0,s6301,4.0
435,41.0,s985,5.0
436,41.0,s6218,3.0
437,42.0,s2378,5.0
438,42.0,s4738,3.0
439,42.0,s5005,3.0
440,42.0,s4127,4.0
441,42.0,s487,3.0
442,42.0,s7228,4.0
443,42.0,s7497,5.0
444,42.0,s4673,3.0
445,42.0,s426,5.0
446,42.0,s5678,3.0
447,42.0,s4686,5.0
448,43.0,s8724,4.0
449,43.0,s8527,5.0
450,43.0,s8704,5.0
451,43.0,s5672,4.0
452,43.0,s851,3.0
453,43.0,s4423,5.0
454,43.0,s8207,5.0
455,43.0,s6446,4.0
456,43.0,s452,3.0
457,43.0,s7883,4.0
458,43.0,s1374,5.0
459,44.0,s6427,3.0
460,44.0,s4015,5.0
461,44.0,s3824,4.0
462,44.0,s5398,3.0
463,44.0,s6390,4.0
464,44.0,s8750,4.0
465,44.0,s3723,4.0
466,44.0,s3450,3.0
467,44.0,s1363,5.0
468,44.0,s1757,4.0
469,44.0,s264,5.0
470,45.0,s4766,5.0
471,45.0,s6449,4.0
472,45.0,s459,4.0
473,45.0,s2372,4.0
474,45.0,s24,5.0
475,45.0,s2811,4.0
476,45.0,s1811,5.0
477,45.0,s3423,5.0
478,45.0,s1207,4.0
479,45.0,s7588,5.0
480,45.0,s1377,3.0
481,46.0,s666,3.0
482,46.0,s6543,3.0
483,46.0,s4953,4.0
484,46.0,s842,5.0
485,46.0,s7071,4.0
486,46.0,s8534,3.0
487,46.0,s2622,3.0
488,46.0,s8743,5.0
489,46.0,s1515,3.0
490,46.0,s3025,5.0
491,46.0,s5036,5.0
492,47.0,s2564,5.0
493,47.0,s6079,3.0
494,47.0,s1128,3.0
495,47.0,s671,4.0
496,47.0,s7647,5.0
497,47.0,s1753,5.0
498,47.0,s6221,5.0
499,47.0,s3247,3.0
500,47.0,s8152,4.0
501,47.0,s2928,3.0
